Name;URL;Author;Price;Number of Ratings;Average Rating
The Power of Habit: Why We Do What We Do, and How to Change;https://www.amazon.in/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1;Charles Duhigg;INR 224.00;402;4.4 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Physics;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Physics/dp/9311128740?_encoding=UTF8&psc=1;DC Pandey;INR 224.00;78;4.2 out of 5 stars
Study Guide for B.Arch 2018;https://www.amazon.in/Study-Guide-B-Arch-2018-Mishra/dp/9312146033?_encoding=UTF8&psc=1;PK Mishra;INR 228.00;8;4.3 out of 5 stars
How to Prepare for Quantitative Aptitude for the CAT;https://www.amazon.in/How-Prepare-Quantitative-Aptitude-CAT/dp/9352602242?_encoding=UTF8&psc=1;Arun Sharma;INR 544.00;231;4.2 out of 5 stars
Who Will Cry When You Die?;https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1;Robin Sharma;INR 149.00;2,428;4.4 out of 5 stars
Beehive  for Class - 9 - 959;https://www.amazon.in/Beehive-for-Class-9-959/dp/8174505024?_encoding=UTF8&psc=1;Paperback;Not available;1;4.0 out of 5 stars
Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future;https://www.amazon.in/Elon-Musk-Billionaire-Spacex-Shaping/dp/0753555638?_encoding=UTF8&psc=1;Ashlee Vance;INR 362.00;546;4.6 out of 5 stars
Catalyst;https://www.amazon.in/Catalyst-Chandramouli-Venkatesan/dp/0143442473?_encoding=UTF8&psc=1;Chandramouli;INR 237.00;34;4.4 out of 5 stars
This Is Not Your Story;https://www.amazon.in/This-Your-Story-Savi-Sharma/dp/9386224399?_encoding=UTF8&psc=1;Savi Sharma;INR 112.00;1,881;4.5 out of 5 stars
Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear;https://www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1;Lakhmir Singh;INR 1,226.00;15;3.6 out of 5 stars
Picture Books Collection for Early Learning;https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P?_encoding=UTF8&psc=1;E C Axus;INR 240.00;103;4.0 out of 5 stars
Black Holes: The Reith Lectures;https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X?_encoding=UTF8&psc=1;Stephen Hawking;INR 80.00;102;4.3 out of 5 stars
Essential English Grammar with Answers;https://www.amazon.in/Essential-English-Grammar-Answers-Raymond/dp/8175960299?_encoding=UTF8&psc=1;Raymond Murphy;INR 128.00;594;4.4 out of 5 stars
Pregnancy Notes: Before, During & After;https://www.amazon.in/Pregnancy-Notes-Before-During-After/dp/9386224895?_encoding=UTF8&psc=1;Rujuta Diwekar;INR 112.00;142;3.9 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Mathematics/dp/9311128767?_encoding=UTF8&psc=1;Amit M Agarwal;INR 224.00;76;4.3 out of 5 stars
Keepers of the Kalachakra: The latest thriller in the Bharat Series by bestselling author Ashwin Sanghi;https://www.amazon.in/Keepers-Kalachakra-latest-thriller-bestselling/dp/9386850648?_encoding=UTF8&psc=1;Ashwin Sanghi;INR 219.00;208;4.2 out of 5 stars
The Theory of Everything;https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919?_encoding=UTF8&psc=1;Stephen Hawking;INR 189.00;372;4.5 out of 5 stars
Indian Superfoods: Change the Way You Eat;https://www.amazon.in/Indian-Superfoods-Change-Way-You/dp/8193237234?_encoding=UTF8&psc=1;Rujuta Diwekar;INR 213.00;247;4.1 out of 5 stars
Mathematics For Class 8 by R D Sharma (2018-19 Session);https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/818992804X?_encoding=UTF8&psc=1;R.D. Sharma;INR 385.00;117;4.4 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1;Ranjeet Shahi;INR 224.00;75;3.9 out of 5 stars
23 Years CSAT General Studies IAS Prelims Topic-wise Solved Papers (1995-2017);https://www.amazon.in/General-Studies-Prelims-Topic-wise-1995-2017/dp/9386629283?_encoding=UTF8&psc=1;Disha Experts;INR 246.00;145;4.1 out of 5 stars
Peppa Pig: Fairy Tale Little Library;https://www.amazon.in/Peppa-Pig-Fairy-Little-Library/dp/1409306178?_encoding=UTF8&psc=1;Lauren Holowaty;INR 133.00;215;3.9 out of 5 stars
Civil Engineering: Through Objective Type Questions;https://www.amazon.in/Civil-Engineering-Through-Objective-Questions/dp/8123907974?_encoding=UTF8&psc=1;S P Gupta;INR 300.00;214;4.2 out of 5 stars
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover;https://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149?_encoding=UTF8&psc=1;Amish Tripathi;INR 219.00;4,385;4.1 out of 5 stars
The Secret;https://www.amazon.in/Secret-Rhonda-Byrne/dp/1847370292?_encoding=UTF8&psc=1;Rhonda Byrne;INR 508.00;1,223;4.5 out of 5 stars
