Name;URL;Author;Price;Number of Ratings;Average Rating
The Secret Of The Nagas (Shiva Trilogy-2);https://www.amazon.in/Secret-Nagas-Shiva-Trilogy-2/dp/9381626340?_encoding=UTF8&psc=1;Amish Tripathi;INR 174.00;1,480;4.6 out of 5 stars
Sanjay Dutt: The Crazy Untold Story of Bollywood’s Bad Boy;https://www.amazon.in/Sanjay-Dutt-Crazy-Untold-Bollywoods/dp/9386228580?_encoding=UTF8&psc=1;Yasser Usman;INR 372.00;1;4.0 out of 5 stars
Principles and Practices of Banking;https://www.amazon.in/Principles-Practices-Banking-IIBF/dp/9350597292?_encoding=UTF8&psc=1;IIBF;INR 489.00;190;4.5 out of 5 stars
RRB Group D Guide Hindi 2018;https://www.amazon.in/RRB-Group-Guide-Hindi-2018/dp/9312147897?_encoding=UTF8&psc=1;Arihant Experts;INR 140.00;12;3.8 out of 5 stars
Exam Warriors;https://www.amazon.in/Exam-Warriors-Narendra-Modi/dp/0143441507?_encoding=UTF8&psc=1;Narendra Modi;INR 57.00;292;4.4 out of 5 stars
Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future;https://www.amazon.in/Elon-Musk-Billionaire-Spacex-Shaping/dp/0753555638?_encoding=UTF8&psc=1;Ashlee Vance;INR 339.00;536;4.6 out of 5 stars
Don't Lose Your Mind, Lose Your Weight;https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1;Rujuta Diwekar;INR 130.00;820;4.5 out of 5 stars
General Knowledge;https://www.amazon.in/General-Knowledge-Dr-Binay-Karna/dp/9384761540?_encoding=UTF8&psc=1;Dr. Binay Karna;INR 180.00;1,296;4.4 out of 5 stars
The Secret;https://www.amazon.in/Secret-Rhonda-Byrne/dp/1847370292?_encoding=UTF8&psc=1;Rhonda Byrne;INR 416.00;1,213;4.5 out of 5 stars
Thinking, Fast and Slow (Penguin Press Non-Fiction);https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576?_encoding=UTF8&psc=1;Daniel Kahneman;INR 349.00;454;4.4 out of 5 stars
High School English Grammar and Composition Book (Regular Edition);https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1;D;INR 285.00;662;4.3 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Mathematics/dp/9311128767?_encoding=UTF8&psc=1;Amit M Agarwal;INR 184.00;74;4.2 out of 5 stars
Inner Engineering: A Yogi’s Guide to Joy;https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1;Sadhguru;INR 173.00;830;4.7 out of 5 stars
Pregnancy Notes: Before, During & After;https://www.amazon.in/Pregnancy-Notes-Before-During-After/dp/9386224895?_encoding=UTF8&psc=1;Rujuta Diwekar;INR 112.00;140;3.9 out of 5 stars
The Power of Habit: Why We Do What We Do, and How to Change;https://www.amazon.in/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1;Charles Duhigg;INR 318.00;397;4.4 out of 5 stars
